date,temperature_2m_max
1940-06-30 00:00:00+00:00,91.255104
1940-07-01 00:00:00+00:00,90.7151
1940-07-02 00:00:00+00:00,88.5551
1940-07-03 00:00:00+00:00,88.5551
1940-07-04 00:00:00+00:00,89.9951
1940-07-05 00:00:00+00:00,89.2751
1940-07-06 00:00:00+00:00,87.8351
1940-07-07 00:00:00+00:00,88.9151
1940-07-08 00:00:00+00:00,88.825096
1940-07-09 00:00:00+00:00,88.2851
1940-07-10 00:00:00+00:00,87.655106
1940-07-11 00:00:00+00:00,87.655106
1940-07-12 00:00:00+00:00,86.575096
1940-07-13 00:00:00+00:00,87.655106
1940-07-14 00:00:00+00:00,86.755104
1940-07-15 00:00:00+00:00,87.7451
1940-07-16 00:00:00+00:00,87.4751
1940-07-17 00:00:00+00:00,86.3051
1940-07-18 00:00:00+00:00,84.59511
1940-07-19 00:00:00+00:00,85.405106
1940-07-20 00:00:00+00:00,84.59511
1940-07-21 00:00:00+00:00,87.295105
1940-07-22 00:00:00+00:00,85.4951
1940-07-23 00:00:00+00:00,87.7451
1940-07-24 00:00:00+00:00,87.655106
1940-07-25 00:00:00+00:00,90.2651
1940-07-26 00:00:00+00:00,90.0851
1940-07-27 00:00:00+00:00,89.4551
1940-07-28 00:00:00+00:00,87.7451
1940-07-29 00:00:00+00:00,87.7451
1940-07-30 00:00:00+00:00,89.3651
1940-07-31 00:00:00+00:00,88.4651
1940-08-01 00:00:00+00:00,88.7351
1940-08-02 00:00:00+00:00,87.3851
1940-08-03 00:00:00+00:00,86.0351
1940-08-04 00:00:00+00:00,82.795105
1940-08-05 00:00:00+00:00,85.1351
1940-08-06 00:00:00+00:00,86.3951
1940-08-07 00:00:00+00:00,87.0251
1940-08-08 00:00:00+00:00,87.4751
1940-08-09 00:00:00+00:00,88.4651
1940-08-10 00:00:00+00:00,90.3551
1940-08-11 00:00:00+00:00,90.0851
1940-08-12 00:00:00+00:00,87.0251
1940-08-13 00:00:00+00:00,85.8551
1940-08-14 00:00:00+00:00,88.1051
1940-08-15 00:00:00+00:00,89.7251
1940-08-16 00:00:00+00:00,90.9851
1940-08-17 00:00:00+00:00,89.3651
1940-08-18 00:00:00+00:00,88.9151
1940-08-19 00:00:00+00:00,89.09511
1940-08-20 00:00:00+00:00,90.2651
1940-08-21 00:00:00+00:00,90.5351
1940-08-22 00:00:00+00:00,90.2651
1940-08-23 00:00:00+00:00,88.4651
1940-08-24 00:00:00+00:00,86.575096
1940-08-25 00:00:00+00:00,89.545105
1940-08-26 00:00:00+00:00,88.4651
1940-08-27 00:00:00+00:00,87.655106
1940-08-28 00:00:00+00:00,86.4851
1940-08-29 00:00:00+00:00,86.4851
1940-08-30 00:00:00+00:00,88.0151
1940-08-31 00:00:00+00:00,88.6451
1940-09-01 00:00:00+00:00,90.8051
1940-09-02 00:00:00+00:00,87.295105
1940-09-03 00:00:00+00:00,83.1551
1940-09-04 00:00:00+00:00,87.0251
1940-09-05 00:00:00+00:00,86.1251
1940-09-06 00:00:00+00:00,84.59511
1940-09-07 00:00:00+00:00,84.8651
1940-09-08 00:00:00+00:00,86.6651
1940-09-09 00:00:00+00:00,86.755104
1940-09-10 00:00:00+00:00,86.4851
1940-09-11 00:00:00+00:00,83.7851
1940-09-12 00:00:00+00:00,84.8651
1940-09-13 00:00:00+00:00,87.655106
1940-09-14 00:00:00+00:00,87.3851
1940-09-15 00:00:00+00:00,86.3051
1940-09-16 00:00:00+00:00,86.1251
1940-09-17 00:00:00+00:00,86.575096
1940-09-18 00:00:00+00:00,86.6651
1940-09-19 00:00:00+00:00,83.1551
1940-09-20 00:00:00+00:00,82.3451
1940-09-21 00:00:00+00:00,83.2451
1940-09-22 00:00:00+00:00,83.8751
1940-09-23 00:00:00+00:00,81.9851
1940-09-24 00:00:00+00:00,85.2251
1940-09-25 00:00:00+00:00,85.3151
1940-09-26 00:00:00+00:00,85.3151
1940-09-27 00:00:00+00:00,87.1151
1940-09-28 00:00:00+00:00,84.1451
1940-09-29 00:00:00+00:00,82.9751
1940-09-30 00:00:00+00:00,84.59511
1940-10-01 00:00:00+00:00,83.69511
1940-10-02 00:00:00+00:00,83.69511
1940-10-03 00:00:00+00:00,83.7851
1940-10-04 00:00:00+00:00,82.795105
1940-10-05 00:00:00+00:00,81.4451
1940-10-06 00:00:00+00:00,81.8051
1940-10-07 00:00:00+00:00,82.3451
1940-10-08 00:00:00+00:00,80.6351
1940-10-09 00:00:00+00:00,84.7751
1940-10-10 00:00:00+00:00,82.9751
1940-10-11 00:00:00+00:00,80.0951
1940-10-12 00:00:00+00:00,82.0751
1940-10-13 00:00:00+00:00,81.4451
1940-10-14 00:00:00+00:00,83.425095
1940-10-15 00:00:00+00:00,83.8751
1940-10-16 00:00:00+00:00,86.0351
1940-10-17 00:00:00+00:00,84.8651
1940-10-18 00:00:00+00:00,82.2551
1940-10-19 00:00:00+00:00,82.795105
1940-10-20 00:00:00+00:00,85.405106
1940-10-21 00:00:00+00:00,84.1451
1940-10-22 00:00:00+00:00,81.8051
1940-10-23 00:00:00+00:00,83.7851
1940-10-24 00:00:00+00:00,84.505104
1940-10-25 00:00:00+00:00,84.9551
1940-10-26 00:00:00+00:00,84.8651
1940-10-27 00:00:00+00:00,83.8751
1940-10-28 00:00:00+00:00,83.8751
1940-10-29 00:00:00+00:00,83.5151
1940-10-30 00:00:00+00:00,82.3451
1940-10-31 00:00:00+00:00,84.325096
1940-11-01 00:00:00+00:00,84.2351
